IDEN;HOJA;MUNICIPIO;SITIO;NOMBRE;LAT;LON;PROP;CONST;PERF;ENTU;NIVEL;FENIV;GASTO;COTA;ND;DIAM1;REG;DIAM2;PBOMBEO;EPOZO;NORTE;ESTE;ACT_MASTER
FA6971089A;6250;1201;EL CEBOLLAL HDA EL HATILLITO;;112117.0;694615.0;JOVITO ROJAS TORREZ;481.0;116.0;116.0;70.0;010282;24.0;;;;;12.0;;A;1255327.44;415887.78;1994-01-18
FA6971090A;6250;1201;EL CEBOLLAL LOS COMPADRES;;112205.0;694638.0;FRANC LORENZO;;80.0;80.0;;;;;;;;;;P;1256803.75;415194.54;1994-07-20
FA6971091N;6250;1201;SAN AGUSTIN EL CEBOLLAL;RED;112142.0;694727.0;MARNR;;94.9;94.9;66.25;231296;;51.33;;;;;;P;1256101.24;413707.37;1994-01-18
FA6971092N;6250;1201;EL CEBOLLAL MAC FORRAJE;RED;112258.0;694357.0;MARNR;1182.0;78.9;78.9;38.37;  0792;;21.86;;;;;;P;1258419.1;420078.7;1994-10-06
FA6971093A;6250;1201;EL CEBOLLAL;;112228.0;694358.0;MAC;;117.0;117.0;35.55;  0792;;;;;;;;P;1257497.65;420046.06;1994-01-18
FA6971094A;6250;1201;EL CEBOLLAL HDA STA RITA;;112143.0;694608.0;PEREZ Y CACERES;;110.0;110.0;;;10.0;;;;;;;P;1256125.54;416102.08;1994-01-18
FA6971095A;6250;1201;EL CEBOLLAL EL HATILLITO;;112111.0;694643.0;FRANCISCO MELENDEZ;1183.0;120.0;120.0;;;;;;;;;;P;1255145.39;415038.54;1994-01-18
FA6971096A;6250;1201;EL CEBOLLAL;;112106.0;694643.0;FRANCISCO MELENDEZ;;134.0;134.0;;;;;;;;;;D;1254991.8;415038.13;1994-01-18
FA6971097A;6250;1201;EL CEBOLLAL;;112159.0;694439.0;AGUSTIN RUELA;;110.0;110.0;55.04;;18.0;;;;;;;;1256610.0;418801.06;1994-01-18
FA6971098A;6250;1201;EL CEBOLLAL;;112250.0;694552.0;ANSELMO LORENZO;;80.0;80.0;;;;;;;;;;P;1258182.34;416592.48;1994-01-18
FA6972006N;6250;1201;EL CARDON;;112200.0;695025.0;MARNR;;80.4;80.4;54.85;;;;;;;;;D;1256669.3;408313.44;1994-01-18
FA6971001N;6250;1201;CORO FTE CRUZ VERDE;;113117.0;694106.0;INOS;;52.0;48.0;30.53;080273;;22.94;;;;;;D;1273734.41;425297.93;1994-01-18
FA6970063A;6550;1201;LOS PEROZOS;;112405.0;693815.0;COMUNIDAD;;;;;  1080;;28.0;;;;;;D;1260452.68;430448.87;1994-01-18
FA6970066A;6250;0501;DIST LOS OLIVOS LAS CALDERAS;;112540.0;693732.0;INOS;;;;;  0684;;;;;;;;D;1263367.95;431758.36;1994-01-18
FA6970106C;6250;1201;LAS CALDERAS;;112350.0;693727.0;;;;;;;;;;;;;;A;1259988.76;431902.59;1994-01-18
FA6970107A;6250;1201;LAS CALDERAS;;112350.0;693727.0;DOMINGO JIMENEZ;;23.4;23.4;;110180;;25.81;;;;10.0;;D;1259988.76;431902.59;1994-01-18
FA6970113A;6250;0501;DIST LOS OLIVOS;;112552.0;693733.0;;;;;;;;;;;;6.0;;D;1263736.62;431728.85;1994-01-18
FA6970129A;6250;1203;RESD GOBERNADOR CORO;;112532.0;693853.0;EJECUTIVO;77.0;67.0;67.0;;;;;;;;6.0;;P;1263127.62;429303.19;1994-01-18
FA6970134A;6250;1201;BARRIO 5 DE JULIO CORO;;112444.0;693858.0;;;;;;;;;;;;;;D;1261653.54;429148.36;1994-01-18
FA6970135A;6250;1201;PARQUE LIBERTADOR CORO;;112524.0;693938.0;MTC;;;;;;;;;;;;;;1262884.96;427938.94;1994-01-18
FA6970138A;6250;1201;PARQUE LIBERTADOR CORO;;112525.0;693942.0;MTC;;;;;;;;;;;;;;1262915.96;427817.8;1994-01-18
