"IDEN";"HOJA";"MUNICIPIO";"SITIO";"NOMBRE";"LAT";"LON";"PROP";"CONST";"PERF";"ENTU";"NIVEL";"FENIV";"GASTO";"COTA";"ND";"DIAM1";"REG";"DIAM2";"PBOMBEO";"EPOZO";"NORTE";"ESTE";"ACT_MASTER"
"CA6160078A";"6646";"0201";"GJA EXP SAMAN MOCHO";;"100622";"675215";"UCV AGRONOMIA";;"  75.0";"  75.0";"   3.52";"210988";" 12";" 409.00";;;;;;;"1117371.13";" 623723.72";18/1/1994 0:00:00
"CA6160079A";"6646";"0201";"FDO RONALDIHT LAS TIAMITAS";;"100617";"675126";"PEDRO ZAMBRANO";;"  17.0";"  17.0";;"210988";;;;;;"  4";;;"1117222.73";" 625215.83";18/1/1994 0:00:00
"CA6160080A";"6646";"0201";"CENTRAL TACARIGUA";;"100635";"675550";"AZUCARERA TACARIGUA";;;;;;;" 422.00";;;;;;;"1117748.42";" 617177.86";18/1/1994 0:00:00
"CA6160081N";"6646";"0201";"SECTOR LAS TIAMITAS";"RED";"100616";"675129";"MODESTO GARCIA";;;"  10.0";"   2.30";"210988";;;;;;"  2";;"x";"1117191.69";" 625124.61";18/1/1994 0:00:00
"CA6160157A";"6646";"0905";"BARRIO BUCARAL I";;"100825";"675550";"HECTOR ZAVARCE";;" 160.0";" 160.0";"  10.50";"210988";;" 420.50";;;;;;;"1121127.38";" 617166.78";18/1/1994 0:00:00
"CA6160083A";"6646";"0905";"AGROPECUARIA EL OLIVO";;"100558";"675138";"SANTIAGO PACORONTE";"0588";" 154.0";" 154.0";;"210988";;;;;;"  8";;;"1116637.80";" 624852.58";18/1/1994 0:00:00
"CA6160084A";"6646";"0905";"AGRICOLA TIMAN FAYAS";;"1008";"6752";"PEDRO CASAÑAS DIAZ";;;;"  10.00";"210988";;" 419.00";;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160085A";"6646";"0905";"LOS OLIVOS FRENTE A TIMANFAYA";;"1008";"6752";;;;;;;;;;;;" 10";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160086A";"6646";"0905";"LA QUESERA MAJAGUAL";;"1008";"6752";"IAN";;;;;"210988";;" 417.00";;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160087A";"6646";"0905";"EL OLIVO HDA LAS NIEVES";;"1008";"6752";"MARTIN ORTEGA";;;;;"210988";;;;;;" 12";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
